Title,US Gross,Worldwide Gross,US DVD Sales,Production Budget,Release Date,MPAA Rating,Source,Major Genre,Creative Type,Rotten Tomatoes Rating,IMDB Rating,IMDB Votes
Knock Off,10319915,10319915,,35000000,Sep 04 1998,R,Original Screenplay,Action/Adventure,Fiction,8,4.1,5852
Town & Country,6712451,10364769,,105000000,Apr 27 2001,R,Original Screenplay,Comedy,Fiction,13,4.4,2889
The Man,8330720,10393696,,20000000,Sep 09 2005,PG/PG-13,Original Screenplay,Comedy,Fiction,11,5.4,9356
Head Over Heels,10397365,10397365,,14000000,Feb 02 2001,PG/PG-13,Original Screenplay,Comedy,Fiction,9,4.8,6574
First Daughter,9055010,10419084,,30000000,Sep 24 2004,PG/PG-13,Original Screenplay,Comedy,Fiction,8,4.7,6839
The Brothers McMullen,10426506,10426506,,25000,Aug 09 1995,R,Original Screenplay,Drama,Fiction,91,6.4,4365
The Cooler,8291572,10464788,,4000000,Nov 26 2003,R,Original Screenplay,Drama,Fiction,77,7,19072
Narc,10465659,10465659,,7500000,Dec 20 2002,R,Original Screenplay,Horror/Thriller,Fiction,83,7.3,19248
Steamboy,468867,10468867,,20000000,Mar 18 2005,PG/PG-13,Original Screenplay,Action/Adventure,,,,
Bandidas,0,10496317,7921142,35000000,Sep 22 2006,PG/PG-13,Original Screenplay,Western/Musical,Fiction,62,5.6,12103
Home Fries,10513979,10513979,,15000000,Nov 25 1998,PG/PG-13,Original Screenplay,Comedy,Fiction,31,4.7,4806
Lars and the Real Girl,5956480,10553442,2560922,12500000,Oct 12 2007,PG/PG-13,Original Screenplay,Comedy,Fiction,81,7.5,32423
Mad City,10561038,10561038,,50000000,Nov 07 1997,PG/PG-13,Original Screenplay,Drama,Fiction,37,6.1,9611
Three to Tango,10570375,10570375,,20000000,Oct 22 1999,PG/PG-13,Original Screenplay,Comedy,Fiction,28,5.8,11148
Drop Dead Gorgeous,10571408,10571408,,10000000,Jul 23 1999,PG/PG-13,Original Screenplay,Comedy,Fiction,45,6.2,16344
Son of Rambow: A Home Movie,1785505,10573083,,2000000,May 02 2008,PG/PG-13,Original Screenplay,Comedy,Fiction,,,
The Astronaut's Wife,10672566,10672566,,34000000,Aug 27 1999,R,Original Screenplay,Horror/Thriller,Fiction,16,4.9,20259
Deconstructing Harry,10686841,10686841,,20000000,Dec 12 1997,R,Original Screenplay,Comedy,Fiction,70,7.2,16820
RoboCop 3,10696210,10696210,,22000000,Nov 05 1993,,Original Screenplay,Action/Adventure,Fiction,,3.4,13310
Universal Soldier II: The Return,10447421,10717421,,40000000,Aug 20 1999,R,Original Screenplay,Action/Adventure,Fiction,,3.4,10233
New York Stories,10763469,10763469,,15000000,Mar 01 1989,,Original Screenplay,Drama,Fiction,74,6.1,6906
Here on Earth,10494147,10845127,,15000000,Mar 24 2000,PG/PG-13,Original Screenplay,Drama,Fiction,18,4.6,4929
Extract,10823158,10849158,,7500000,Sep 04 2009,R,Original Screenplay,Comedy,Fiction,62,6.4,12371
Antitrust,10965209,10965209,,30000000,Jan 12 2001,PG/PG-13,Original Screenplay,Horror/Thriller,Fiction,25,6,16263
The Astronaut Farmer,11003643,11003643,13774930,13000000,Feb 23 2007,PG/PG-13,Original Screenplay,Drama,Fiction,,6.4,10506
You Can Count on Me,9180275,11005992,,1200000,Nov 10 2000,R,Original Screenplay,Drama,Fiction,95,7.7,14261
Krush Groove,11052713,11052713,,3000000,Oct 25 1985,,Original Screenplay,Drama,Fiction,,5.8,588
Deep Rising,11203026,11203026,,45000000,Jan 30 1998,R,Original Screenplay,Action/Adventure,Fiction,30,5.7,12484
Banlieue 13,1200216,11208291,,15000000,Jun 02 2006,R,Original Screenplay,Action/Adventure,Fiction,,7.1,21427
Chill Factor,11263966,11263966,,34000000,Sep 01 1999,R,Original Screenplay,Action/Adventure,Fiction,7,4.9,5374
Before Sunset,5792822,11293790,,2000000,Jul 02 2004,R,Original Screenplay,Drama,Fiction,95,8,45535
The Lords of Dogtown,11273517,11354893,,25000000,Jun 03 2005,PG/PG-13,Original Screenplay,Action/Adventure,Non-Fiction,,,
Beyond Borders,4426297,11427090,,60000000,Oct 24 2003,R,Original Screenplay,Drama,Fiction,14,6.2,9575
Turbulence,11532774,11532774,,55000000,Jan 10 1997,R,Original Screenplay,Horror/Thriller,Fiction,17,4.5,5147
The Cookout,11540112,11540112,,16000000,Sep 03 2004,PG/PG-13,Original Screenplay,Comedy,Fiction,5,3.2,1659
The Legend of Drunken Master,11546543,11546543,,2000000,Oct 20 2000,R,Original Screenplay,Action/Adventure,Fiction,,,
Two Lovers,3149034,11549034,,12000000,Feb 13 2009,R,Original Screenplay,Drama,Fiction,,7.3,10325
The Order,7659747,11559747,,35000000,Sep 05 2003,R,Original Screenplay,Horror/Thriller,Fiction,,4.9,9119
Get Over It,11560259,11560259,,10000000,Mar 09 2001,PG/PG-13,Original Screenplay,Comedy,Fiction,45,5.5,9350
The Muse,11614954,11614954,,15000000,Aug 27 1999,PG/PG-13,Original Screenplay,Comedy,Fiction,51,5.5,6507
3 Ninjas Kick Back,11744960,11744960,,20000000,May 06 1994,PG/PG-13,Original Screenplay,Action/Adventure,Fiction,17,3.2,3107
End of the Spear,11748661,11748661,,10000000,Jan 20 2006,PG/PG-13,Original Screenplay,Drama,Fiction,,6.7,2884
Tales from the Hood,11784569,11784569,,6000000,May 24 1995,R,Original Screenplay,Horror/Thriller,Fiction,33,5.8,1860
Bloodsport,11806119,11806119,,1500000,Feb 26 1988,,Original Screenplay,Action/Adventure,Fiction,,6.2,19816
Mulholland Drive,7219578,11919578,,15000000,Oct 08 2001,R,Original Screenplay,Drama,Fiction,81,7.9,103026
Dark Blue,9237470,11933396,,15000000,Feb 21 2003,R,Original Screenplay,Drama,Fiction,57,6.6,10881
Holy Man,12069719,12069719,,60000000,Oct 09 1998,PG/PG-13,Original Screenplay,Comedy,Fiction,12,4.7,9105
Confidence,12212417,12212417,,15000000,Apr 25 2003,R,Original Screenplay,Drama,Fiction,71,6.8,17111
Abandon,10719367,12219367,,25000000,Oct 18 2002,PG/PG-13,Original Screenplay,Horror/Thriller,Fiction,17,4.8,5361
Lone Wolf McQuade,12232628,12232628,,5000000,Apr 15 1983,,Original Screenplay,Action/Adventure,Fiction,,5.8,2917
True Romance,12281000,12281000,,12500000,Sep 10 1993,,Original Screenplay,Horror/Thriller,Fiction,91,7.9,73829
Chasing Liberty,12189514,12291975,,23000000,Jan 09 2004,PG/PG-13,Original Screenplay,Comedy,Fiction,19,5.8,7855
A Hard Day's Night,12299668,12299668,,560000,Aug 11 1964,,Original Screenplay,Comedy,Fiction,100,7.6,15291
Ready to Rumble,12372410,12372410,,24000000,Apr 07 2000,PG/PG-13,Original Screenplay,Comedy,Fiction,25,,
Undisputed,12398628,12398628,,20000000,Aug 23 2002,R,Original Screenplay,Drama,Fiction,49,5.8,6837
Nine Queens,1222889,12412889,,1500000,Apr 19 2002,R,Original Screenplay,Drama,Fiction,,,
Knockaround Guys,11660180,12419700,,15000000,Oct 11 2002,R,Original Screenplay,Drama,Fiction,,6,11019
Breakin' All the Rules,12232382,12512317,,9000000,May 14 2004,PG/PG-13,Original Screenplay,Comedy,Fiction,33,5.3,2643
Sorority Boys,10198766,12516222,,12000000,Mar 22 2002,R,Original Screenplay,Comedy,Fiction,13,5.1,7392
Gattaca,12532777,12532777,,36000000,Oct 24 1997,PG/PG-13,Original Screenplay,Drama,Fiction,82,7.8,70906
Love Jones,12554569,12554569,,10000000,Mar 14 1997,R,Original Screenplay,Drama,Fiction,67,6.7,1165
Gossip,5108820,12591270,,14000000,Apr 21 2000,R,Original Screenplay,Drama,Fiction,28,,
Diner,12592907,12592907,,5000000,Apr 02 1982,,Original Screenplay,Comedy,Fiction,96,7.1,7803
Extreme Ops,4835968,12624471,,40000000,Nov 27 2002,PG/PG-13,Original Screenplay,Action/Adventure,Fiction,6,4.1,3195
Idlewild,12669914,12669914,3120029,15000000,Aug 25 2006,R,Original Screenplay,Western/Musical,Fiction,47,5.8,3056
"Bon Cop, Bad Cop",12671300,12671300,,8000000,Aug 04 2006,Other,Original Screenplay,Comedy,Fiction,67,6.9,151
The Omega Code,12610552,12678312,,7200000,Oct 15 1999,PG/PG-13,Original Screenplay,Action/Adventure,Fiction,8,3.3,3814
Mystic Pizza,12793213,12793213,,6000000,Oct 21 1988,,Original Screenplay,Comedy,Fiction,82,5.9,8413
Highlander: Endgame,12801190,12801190,,15000000,Sep 01 2000,R,Original Screenplay,Action/Adventure,Fiction,,4.3,8421
Slither,7802450,12834936,7475776,15250000,Mar 31 2006,R,Original Screenplay,Horror/Thriller,Fiction,85,6.6,26101
They,12840842,12840842,,17000000,Nov 27 2002,PG/PG-13,Original Screenplay,Horror/Thriller,Fiction,37,4.6,6550
Highlander,5900000,12900000,,16000000,Mar 07 1986,R,Original Screenplay,Action/Adventure,Fiction,66,7.2,40802
Living Out Loud,12905901,12905901,,12000000,Oct 30 1998,R,Original Screenplay,Drama,Fiction,58,6.5,3040
April Fool's Day,12947763,12947763,,5000000,Mar 27 1986,,Original Screenplay,Horror/Thriller,Fiction,31,,
Lone Star,12961389,12961389,,5000000,Jun 21 1996,R,Original Screenplay,Drama,Fiction,92,7.6,14599
The Crew,13019253,13019253,,23000000,Aug 25 2000,PG/PG-13,Original Screenplay,Comedy,Fiction,19,6,1307
Crooklyn,13024170,13024170,,14000000,May 13 1994,PG/PG-13,Original Screenplay,Comedy,Fiction,75,6.5,3137
The Way of the Gun,6047856,13061935,,9000000,Sep 08 2000,R,Original Screenplay,Action/Adventure,Fiction,48,6.5,17513
The Ice Pirates,13075390,13075390,,9000000,Mar 16 1984,,Original Screenplay,Comedy,Fiction,11,5.1,3600
Anything Else,3203044,13203044,,18000000,Sep 19 2003,R,Original Screenplay,Comedy,Fiction,40,6.4,13010
FearDotCom,13208023,13208023,,40000000,Aug 30 2002,R,Original Screenplay,Horror/Thriller,Fiction,,3.1,11438
American Outlaws,13264986,13264986,,35000000,Aug 17 2001,PG/PG-13,Original Screenplay,Western/Musical,Fiction,13,5.6,7396
Rachel Getting Married,12796277,13326280,6635346,12000000,Oct 03 2008,R,Original Screenplay,Drama,Fiction,86,6.9,20451
Secrets & Lies,13417292,13417292,,4500000,Sep 28 1996,R,Original Screenplay,Drama,Fiction,94,7.9,14364
Tomcats,13558739,13558739,,11000000,Mar 30 2001,R,Original Screenplay,Comedy,Fiction,15,4.9,9505
Osmosis Jones,13596911,13596911,,70000000,Aug 10 2001,PG/PG-13,Original Screenplay,Comedy,Fiction,54,6,10959
The Ladies Man,13592872,13719474,,11000000,Oct 13 2000,R,Original Screenplay,Comedy,Fiction,11,4.7,6556
Highlander III: The Sorcerer,13738574,13738574,,26000000,Jan 27 1995,PG/PG-13,Original Screenplay,Action/Adventure,Fiction,,3.8,7763
Blow Out,13747234,13747234,,18000000,Jul 24 1981,,Original Screenplay,Horror/Thriller,Fiction,89,7.1,10239
Juwanna Man,13571817,13771817,,15600000,Jun 21 2002,PG/PG-13,Original Screenplay,Comedy,Fiction,,4.1,3062
She's the One,9482579,13795053,,3500000,Aug 23 1996,R,Original Screenplay,Comedy,Fiction,60,6,8159
"New York, New York",13800000,13800000,,14000000,Jun 22 1977,,Original Screenplay,Western/Musical,,63,6.7,1692
My Stepmother Is an Alien,13854000,13854000,,16000000,Dec 09 1988,,Original Screenplay,Comedy,Fiction,13,4.8,9073
Monsoon Wedding,13876974,13876974,,1200000,Feb 22 2002,R,Original Screenplay,Comedy,Fiction,,7.2,11314
Dirty Pretty Things,8112414,13904766,,10000000,Jul 18 2003,R,Original Screenplay,Drama,Fiction,,7.5,18554
Out Cold,13906394,13906394,,11000000,Nov 21 2001,PG/PG-13,Original Screenplay,Comedy,Fiction,8,5.8,7153
Stealing Harvard,13973532,13973532,,25000000,Sep 13 2002,PG/PG-13,Original Screenplay,Comedy,Fiction,8,4.7,6899
Def Jam's How To Be a Player,14010363,14010363,,12000000,Aug 06 1997,R,Original Screenplay,Comedy,Fiction,,,
In Too Deep,14026509,14026509,,7000000,Aug 25 1999,R,Original Screenplay,Drama,Fiction,36,5.5,2529
Poltergeist III,14114000,14114000,,9500000,Jun 10 1988,,Original Screenplay,Horror/Thriller,Fiction,14,3.8,5387
In the Land of Women,11052958,14140402,9876018,10500000,Apr 20 2007,PG/PG-13,Original Screenplay,Comedy,Fiction,44,6.7,13550
Supernova,14218868,14218868,,60000000,Jan 14 2000,PG/PG-13,Original Screenplay,Action/Adventure,Fiction,10,6.8,127
Buffy the Vampire Slayer,14231669,14231669,,7000000,Jul 31 1992,,Original Screenplay,Horror/Thriller,Fiction,32,5.3,16056
Freddy Got Fingered,14249005,14249005,,15000000,Apr 20 2001,R,Original Screenplay,Comedy,Fiction,11,4,25033
Sukkar banat,1060591,14253760,,1600000,Feb 01 2008,PG/PG-13,Original Screenplay,Comedy,Fiction,,7,3799
Ballistic: Ecks vs. Sever,14294842,14294842,,70000000,Sep 20 2002,R,Original Screenplay,Action/Adventure,Fiction,,3.4,11112
Turistas,7027762,14321070,3507046,10000000,Dec 01 2006,R,Original Screenplay,Horror/Thriller,Fiction,,6.9,83
Hot Rod,13938332,14334401,24152720,25000000,Aug 03 2007,PG/PG-13,Original Screenplay,Comedy,Fiction,40,6.5,22250
Ishtar,14375181,14375181,,40000000,May 15 1987,,Original Screenplay,Comedy,Fiction,19,3.7,6094
Les Triplettes de Belleville,7301288,14440113,,2000000,Nov 26 2003,PG/PG-13,Original Screenplay,Western/Musical,Fiction,,7.7,19761
"Life, or Something Like It",14448589,14448589,,40000000,Apr 26 2002,PG/PG-13,Original Screenplay,Comedy,Fiction,,,
Mrs. Henderson Presents,11036366,14466366,5796061,20000000,Dec 09 2005,R,Original Screenplay,Comedy,Fiction,66,7.1,8831
Welcome to Mooseport,14469428,14469428,,26000000,Feb 20 2004,PG/PG-13,Original Screenplay,Comedy,Fiction,13,5.2,6907
Run Lola Run,7267324,14533173,,1750000,Jun 18 1999,R,Original Screenplay,Horror/Thriller,Fiction,,6,91
Kickboxer,14533681,14533681,,1500000,Sep 08 1989,,Original Screenplay,Action/Adventure,Fiction,,5.5,11692
School Daze,14545844,14545844,,6000000,Feb 12 1988,,Original Screenplay,Drama,Fiction,58,5.3,2667
Soul Plane,13922211,14553807,,16000000,May 28 2004,R,Original Screenplay,Comedy,Fiction,19,3.7,9143
Envy,13548322,14566246,,20000000,Apr 30 2004,PG/PG-13,Original Screenplay,Comedy,Fiction,7,4.6,15655
I Heart Huckabees,12784713,14584713,,22000000,Oct 01 2004,R,Original Screenplay,Comedy,Fiction,62,6.8,35878
Birth,5005899,14603001,,20000000,Oct 29 2004,R,Original Screenplay,Drama,Fiction,39,6.3,25
Soldier,14623082,14623082,,75000000,Oct 23 1998,R,Original Screenplay,Action/Adventure,Fiction,,,
Radio Days,14792779,14792779,,16000000,Jan 30 1987,,Original Screenplay,Comedy,Fiction,95,7.5,10839
Raise Your Voice,10411980,14811980,,15000000,Oct 08 2004,PG/PG-13,Original Screenplay,Drama,Fiction,16,5.2,8634
Hollywood Ending,4839383,14839383,,16000000,May 03 2002,PG/PG-13,Original Screenplay,Comedy,Fiction,46,6.3,10486
Eve's Bayou,14843425,14843425,,5000000,Nov 07 1997,R,Original Screenplay,Drama,Fiction,80,7,4509
Flirting with Disaster,14853474,14853474,,7000000,Mar 22 1996,R,Original Screenplay,Comedy,Fiction,86,6.7,8474
Boat Trip,8586376,14933713,,15000000,Mar 21 2003,R,Original Screenplay,Comedy,Fiction,7,4.7,13258
The Hudsucker Proxy,2816518,14938149,,40000000,Mar 11 1994,PG/PG-13,Original Screenplay,Comedy,,58,7.4,32344
Spaced Invaders,15000000,15000000,,3000000,Apr 27 1990,,Original Screenplay,Comedy,Fiction,9,4.8,1464
Twilight,15055091,15055091,,20000000,Mar 06 1998,R,Original Screenplay,Drama,Fiction,60,6.1,4840
Dead Man on Campus,15064948,15064948,,14000000,Aug 21 1998,R,Original Screenplay,Comedy,Fiction,15,5.6,7109
"The Goods: Live Hard, Sell Hard",15122676,15122676,,10000000,Aug 14 2009,R,Original Screenplay,Comedy,Fiction,26,,
Transamerica,9015303,15151744,3927958,1000000,Dec 02 2005,R,Original Screenplay,Drama,Fiction,76,7.6,19343
Chasing Amy,12006514,15155095,,250000,Apr 04 1997,R,Original Screenplay,Comedy,Fiction,91,7.5,63591
The Corruptor,15164492,15164492,,10000000,Mar 12 1999,R,Original Screenplay,Action/Adventure,Fiction,48,5.8,9008
The Long Riders,15198912,15198912,,10000000,May 16 1980,,Original Screenplay,Action/Adventure,Fiction,79,7.1,3791
Friends with Money,13368437,15328368,7822762,6500000,Apr 07 2006,R,Original Screenplay,Comedy,Fiction,71,6.1,11087
Alex & Emma,14208384,15358583,,30000000,Jun 20 2003,PG/PG-13,Original Screenplay,Drama,Fiction,11,5.4,6539
See No Evil,15032800,15387513,45391536,8000000,May 19 2006,R,Original Screenplay,Horror/Thriller,Fiction,9,5,10035
Drowning Mona,15427192,15427192,,16000000,Mar 03 2000,PG/PG-13,Original Screenplay,Comedy,Fiction,29,5.3,7606
The Jacket,6301131,15452978,,28500000,Mar 04 2005,R,Original Screenplay,Horror/Thriller,Fiction,43,7.1,35932
The Fountain,10144010,15461638,8752844,35000000,Nov 22 2006,PG/PG-13,Original Screenplay,Drama,Fiction,51,7.4,72562
The Weather Man,12482775,15466961,16632857,20000000,Oct 28 2005,R,Original Screenplay,Drama,Fiction,58,6.9,35394
Bait,15325127,15471969,,35000000,Sep 15 2000,R,Original Screenplay,Action/Adventure,Fiction,26,5.6,5143
Legend,15502112,15502112,,25000000,Apr 18 1986,,Original Screenplay,Action/Adventure,Fiction,,6.1,20734
My Boss's Daughter,15549702,15549702,,14000000,Aug 22 2003,PG/PG-13,Original Screenplay,Comedy,Fiction,9,4.3,10919
Cry Wolf,10047674,15585495,,1000000,Sep 16 2005,PG/PG-13,Original Screenplay,Horror/Thriller,Fiction,24,6.4,372
Ulee's Gold,9054736,15600000,,2700000,Jun 13 1997,R,Original Screenplay,Drama,Fiction,94,7,4041
Larry the Cable Guy: Health Inspector,15680099,15680099,13180936,17000000,Mar 24 2006,PG/PG-13,Original Screenplay,Comedy,Fiction,6,2.8,7547
High Plains Drifter,15700000,15700000,,15700000,Jan 01 1972,,Original Screenplay,Western/Musical,Fiction,,7.6,15718
The Good Girl,14018296,15976468,,8000000,Aug 07 2002,R,Original Screenplay,Comedy,Fiction,81,6.6,21460
Kung Pow: Enter the Fist,16033556,16033556,,10000000,Jan 25 2002,PG/PG-13,Original Screenplay,Comedy,Fiction,,5.7,19348
Imagine That,16123323,16123323,,55000000,Jun 12 2009,PG/PG-13,Original Screenplay,Comedy,Fiction,38,5.4,3092
Mo' Better Blues,16153000,16153000,,10000000,Aug 03 1990,,Original Screenplay,Drama,Fiction,72,6.3,4210
The Visitor,9427026,16194905,,4000000,Apr 11 2008,PG/PG-13,Original Screenplay,Comedy,Fiction,90,6.8,318
Waiting...,16124543,16285543,37517657,1125000,Oct 07 2005,R,Original Screenplay,Comedy,Fiction,30,,
American Dreamz,7314027,16510971,,17000000,Apr 21 2006,PG/PG-13,Original Screenplay,Comedy,Fiction,40,5.7,15097
Mindhunters,4476235,16566235,,27000000,May 13 2005,R,Original Screenplay,Horror/Thriller,Fiction,26,6.2,23357
Baby's Day Out,16581575,16581575,,50000000,Jul 01 1994,PG/PG-13,Original Screenplay,Comedy,Fiction,21,5,8332
Paparazzi,15712072,16612072,,20000000,Sep 03 2004,PG/PG-13,Original Screenplay,Horror/Thriller,Fiction,18,5.7,9058
Tremors,16667084,16667084,,10000000,Jan 19 1990,,Original Screenplay,Action/Adventure,Fiction,88,7.2,29840
54,16757163,16757163,,13000000,Aug 28 1998,R,Original Screenplay,Drama,Non-Fiction,13,5.6,15023
"House of 1,000 Corpses",12634962,16829545,,7000000,Apr 11 2003,R,Original Screenplay,Horror/Thriller,Fiction,,5.5,3311
Godsend,14334645,16910708,,30000000,Apr 30 2004,PG/PG-13,Original Screenplay,Horror/Thriller,Fiction,4,4.7,13866
Win a Date with Tad Hamilton!,16980098,16980098,,24000000,Jan 23 2004,PG/PG-13,Original Screenplay,Comedy,Fiction,52,5.7,10366
Central do Brasil,5969553,17006158,,2900000,Nov 20 1998,R,Original Screenplay,Drama,Fiction,,8,17343
Pandorum,10330853,17033431,4018696,40000000,Sep 25 2009,R,Original Screenplay,Horror/Thriller,Fiction,28,6.9,29428
CachÈ,3647381,17147381,,8000000,Dec 23 2005,R,Original Screenplay,Drama,Fiction,,5.5,26
Center Stage,17200925,17200925,,18000000,May 12 2000,PG/PG-13,Original Screenplay,Drama,Fiction,42,6.2,7968
Hudson Hawk,17218916,17218916,,65000000,May 24 1991,,Original Screenplay,Action/Adventure,Fiction,20,5.3,21920
Eight Legged Freaks,17266505,17266505,,30000000,Jul 17 2002,PG/PG-13,Original Screenplay,Comedy,Fiction,47,5.4,18173
The Matador,12578537,17290120,5309636,10000000,Dec 30 2005,R,Original Screenplay,Horror/Thriller,Fiction,76,6.9,25035
Max Keeble's Big Move,17292381,17292381,,12000000,Oct 05 2001,PG/PG-13,Original Screenplay,Comedy,Fiction,26,5.1,2490
My Baby's Daddy,17321573,17322212,,12000000,Jan 09 2004,PG/PG-13,Original Screenplay,Comedy,Fiction,,4,2010
Half Baked,17394881,17394881,,8000000,Jan 16 1998,R,Original Screenplay,Comedy,Fiction,29,6.3,18791
Frailty,13110448,17423030,,11000000,Apr 12 2002,R,Original Screenplay,Horror/Thriller,Fiction,74,7.3,27629
A Guy Thing,15543862,17430594,,20000000,Jan 17 2003,PG/PG-13,Original Screenplay,Comedy,Fiction,,5.5,8147
Rebound,16809014,17492014,,45000000,Jul 01 2005,PG/PG-13,Original Screenplay,Comedy,Fiction,14,4.7,4485
Roll Bounce,17380866,17500866,,10000000,Sep 23 2005,PG/PG-13,Original Screenplay,Comedy,Fiction,64,5,3167
Disturbing Behavior,17507368,17507368,,15000000,Jul 24 1998,R,Original Screenplay,Horror/Thriller,Fiction,30,5.2,9394
The Contender,17804273,17804273,,9000000,Oct 13 2000,R,Original Screenplay,Drama,Fiction,76,6.9,13709
Wes Craven's New Nightmare,18090181,18090181,,8000000,Oct 14 1994,R,Original Screenplay,Horror/Thriller,Fiction,81,,
Last Man Standing,18115927,18115927,,67000000,Sep 20 1996,R,Original Screenplay,Action/Adventure,Fiction,,,
12 Rounds,12234694,18184083,8283859,20000000,Mar 27 2009,PG/PG-13,Original Screenplay,Action/Adventure,Fiction,28,5.4,8914
Daddy Day Camp,13235267,18197398,5405521,76000000,Aug 08 2007,PG/PG-13,Original Screenplay,Comedy,Fiction,1,2.4,6809
Harold & Kumar Go to White Castle,18225165,18225165,,9000000,Jul 30 2004,R,Original Screenplay,Comedy,Fiction,74,7.2,56030
Loser,15464026,18250106,,20000000,Jul 21 2000,R,Original Screenplay,Comedy,Fiction,25,5,12877
Eye of the Beholder,16500786,18260865,,15000000,Jan 28 2000,R,Original Screenplay,Horror/Thriller,Fiction,,4.6,9992
Sugar Hill,18272447,18272447,,10000000,Feb 25 1994,R,Original Screenplay,Drama,Fiction,22,5.3,1627
Sleeper,18344729,18344729,,2000000,Dec 17 1973,,Original Screenplay,Comedy,,100,7.3,15466
Ladyhawke,18400000,18400000,,20000000,Apr 12 1985,,Original Screenplay,Action/Adventure,Fiction,63,6.7,15260
Empire,17504595,18495444,,3500000,Dec 06 2002,R,Original Screenplay,Drama,Fiction,21,6.5,63
The Curse of the Jade Scorpion,7496522,18496522,,26000000,Aug 24 2001,PG/PG-13,Original Screenplay,Comedy,Fiction,45,6.7,15897
An Unfinished Life,8535575,18535575,21172686,30000000,Sep 09 2005,PG/PG-13,Original Screenplay,Drama,Fiction,53,7.1,11770
The Quick and the Dead,18552460,18552460,,32000000,Feb 10 1995,R,Original Screenplay,Western/Musical,Fiction,56,6.3,27352
A Mighty Wind,17583468,18552708,,6000000,Apr 16 2003,PG/PG-13,Original Screenplay,Comedy,Fiction,88,7.2,13602
The Girl Next Door,14589444,18589444,,25000000,Apr 09 2004,R,Original Screenplay,Comedy,Fiction,56,7,5614
3000 Miles to Graceland,15738632,18708848,,62000000,Feb 23 2001,R,Original Screenplay,Drama,Fiction,14,5.6,20094
Under the Rainbow,18826490,18826490,,20000000,Jul 31 1981,,Original Screenplay,Comedy,Fiction,,4.9,1263
Akeelah and the Bee,18848430,18948425,25684049,8000000,Apr 28 2006,PG/PG-13,Original Screenplay,Drama,Fiction,83,7.6,8245
Once,9445857,18997174,,150000,Jun 16 2007,R,Original Screenplay,Drama,Fiction,97,8,34348
The Replacement Killers,19035741,19035741,,30000000,Feb 06 1998,R,Original Screenplay,Action/Adventure,Fiction,39,5.9,13905
Rushmore,17105219,19080435,,10000000,Dec 11 1998,R,Original Screenplay,Comedy,Fiction,87,7.8,53192
2046,1442338,19202856,,12000000,Aug 05 2005,R,Original Screenplay,Drama,Fiction,,7.5,19431
Half Past Dead,15567860,19233280,,25000000,Nov 15 2002,PG/PG-13,Original Screenplay,Action/Adventure,Fiction,2,4.1,6909
Rock Star,16991902,19317765,,38000000,Sep 07 2001,R,Original Screenplay,Drama,Fiction,52,5.8,15806
Saving Silverman,19351569,19351569,,22000000,Feb 09 2001,R,Original Screenplay,Comedy,Fiction,,5.6,18748
House Party 2,19438638,19438638,,5000000,Oct 23 1991,,Original Screenplay,Comedy,Fiction,25,4.3,1596
The Perfect Man,16535005,19535005,,10000000,Jun 17 2005,PG/PG-13,Original Screenplay,Comedy,Fiction,5,5.1,7278
Nighthawks,14600000,19600000,,5000000,Apr 10 1981,,Original Screenplay,Action/Adventure,Fiction,71,6.3,5649
Vampire in Brooklyn,19637147,19637147,,14000000,Oct 27 1995,R,Original Screenplay,Horror/Thriller,Fiction,11,4.3,8200
Summer Catch,19693891,19693891,,17000000,Aug 24 2001,PG/PG-13,Original Screenplay,Comedy,Fiction,7,4.6,6848
Hard Rain,19870567,19870567,,70000000,Jan 16 1998,R,Original Screenplay,Action/Adventure,Fiction,26,5.6,14375
Fled,17192205,19892205,,30000000,Jul 19 1996,R,Original Screenplay,Action/Adventure,Fiction,14,4.9,4215
crazy/beautiful,16929123,19929123,,13000000,Jun 29 2001,PG/PG-13,Original Screenplay,Drama,Fiction,,6.3,12102
The Kentucky Fried Movie,15000000,20000000,,600000,Aug 10 1977,,Original Screenplay,Comedy,,77,6.4,8342
The Life of Brian,20008693,20008693,,4000000,Aug 17 1979,Other,Original Screenplay,Comedy,Fiction,,,
Down to You,20035310,20035310,,9000000,Jan 21 2000,PG/PG-13,Original Screenplay,Comedy,Fiction,3,4.4,7095
Reign Over Me,19661987,20081987,16021076,20000000,Mar 23 2007,R,Original Screenplay,Drama,Fiction,63,7.7,39234
Love and Death,20123742,20123742,,3000000,Jun 10 1975,,Original Screenplay,Comedy,,100,7.6,12111
Serving Sara,16930185,20146150,,29000000,Aug 23 2002,PG/PG-13,Original Screenplay,Comedy,Fiction,5,5,7973
Showgirls,20254932,20254932,,40000000,Sep 22 1995,R,Original Screenplay,Drama,Fiction,12,4.1,27004
Action/Adventure Jackson,20257000,20257000,,7000000,Feb 12 1988,,Original Screenplay,Action/Adventure,Fiction,10,4.6,3856
City Hall,20278055,20278055,,40000000,Feb 16 1996,R,Original Screenplay,Drama,Fiction,55,6.1,9908
Kids,7412216,20412216,,1500000,Jul 21 1995,Other,Original Screenplay,Drama,Fiction,50,6.7,26122
Rendition,9736045,20437142,6007008,27500000,Oct 19 2007,R,Original Screenplay,Horror/Thriller,Fiction,46,6.9,23223
The Last Castle,18208078,20541668,,60000000,Oct 19 2001,R,Original Screenplay,Drama,Fiction,52,6.5,21621
