Title,US Gross,Worldwide Gross,Production Budget,Release Date,MPAA Rating,Source,Major Genre,Creative Type,IMDB Rating,IMDB Votes
Jawbreaker,3076820,3076820,3000000,Feb 19 1999,R,Original Screenplay,Comedy,Fiction,4.8,9329
Beautiful,3134509,3134509,9000000,Sep 29 2000,PG/PG-13,Original Screenplay,Drama,Fiction,4.4,2238
Tadpole,2891288,3200241,150000,Jul 19 2002,PG/PG-13,Original Screenplay,Comedy,Fiction,6.1,3800
Romance and Cigarettes,551002,3231251,11000000,Sep 07 2007,R,Original Screenplay,Comedy,Fiction,6.2,5362
Supercross,3102550,3252550,30000000,Aug 17 2005,PG/PG-13,Original Screenplay,Action/Adventure,Fiction,2.9,2514
Romeo Is Bleeding,3275585,3275585,10000000,Feb 04 1994,R,Original Screenplay,Drama,Fiction,6.3,6537
Pieces of April,2528664,3284124,300000,Oct 17 2003,PG/PG-13,Original Screenplay,Comedy,Fiction,7.2,12153
Pootie Tang,3293258,3293258,3500000,Jun 29 2001,PG/PG-13,Original Screenplay,Comedy,Fiction,4.5,6183
The Company,2281585,3396508,15000000,Dec 25 2003,PG/PG-13,Original Screenplay,Drama,Fiction,6.2,3649
Full Frontal,2512846,3438804,2000000,Aug 02 2002,R,Original Screenplay,Comedy,Fiction,4.8,6660
Camping Sauvage,3479302,3479302,4600000,Jul 16 2004,Other,Original Screenplay,Comedy,Fiction,6,378
Cats Don't Dance,3588602,3588602,32000000,Mar 26 1997,G,Original Screenplay,Western/Musical,Fiction,6.9,1663
The Lost City,2484186,3650302,9600000,Apr 28 2006,R,Original Screenplay,Drama,Fiction,6.6,5790
Thirteen Conversations About One Thing,3287435,3705923,3000000,May 24 2002,R,Original Screenplay,Drama,Fiction,7.1,6188
Better Luck Tomorrow,3802390,3809226,250000,Apr 11 2003,R,Original Screenplay,Drama,Fiction,7.1,5959
L'auberge espagnole,3895664,3895664,5900000,May 16 2003,R,Original Screenplay,Comedy,Fiction,7.3,15696
Brick,2075743,3918941,450000,Mar 31 2006,R,Original Screenplay,Drama,Fiction,7.5,37204
8 Heads in a Duffel Bag,3602884,4002884,3000000,Apr 18 1997,R,Original Screenplay,Comedy,Fiction,4.8,5127
Idle Hands,4023741,4023741,15000000,Apr 30 1999,R,Original Screenplay,Horror/Thriller,Fiction,5.8,16157
King's Ransom,4008527,4049527,25000000,Apr 22 2005,PG/PG-13,Original Screenplay,Comedy,Fiction,3.5,2251
Donnie Darko,1270522,4116307,4500000,Oct 26 2001,R,Original Screenplay,Drama,Fiction,8.3,210713
Whipped,4142507,4142507,3000000,Sep 01 2000,R,Original Screenplay,Comedy,Fiction,4.2,2973
Detroit Rock City,4217115,4217115,16000000,Aug 13 1999,R,Original Screenplay,Comedy,Fiction,6.4,15092
Men with Brooms,4239767,4239767,7500000,Mar 08 2002,R,Original Screenplay,Comedy,Fiction,5.8,2559
Glitter,4273372,4273372,8500000,Sep 21 2001,PG/PG-13,Original Screenplay,Western/Musical,Fiction,2,13778
Soul Survivors,3100650,4288246,14000000,Sep 07 2001,PG/PG-13,Original Screenplay,Horror/Thriller,Fiction,3.6,5116
Four Rooms,4301000,4301000,4000000,Dec 25 1995,R,Original Screenplay,Comedy,Fiction,6.4,34328
PCU,4333569,4333569,9000000,Apr 29 1994,PG/PG-13,Original Screenplay,Comedy,Fiction,6,6967
Meet the Deedles,4356126,4356126,24000000,Mar 27 1998,PG/PG-13,Original Screenplay,Comedy,Fiction,3.4,1379
On the Line,4356743,4356743,10000000,Oct 26 2001,PG/PG-13,Original Screenplay,Comedy,Fiction,3.4,2617
Bogus,4357406,4357406,32000000,Sep 06 1996,PG/PG-13,Original Screenplay,Comedy,Fiction,4.8,2742
Simply Irresistible,4398989,4398989,6000000,Feb 05 1999,PG/PG-13,Original Screenplay,Comedy,Fiction,4.8,6927
Flawless,4485485,4485485,27000000,Nov 24 1999,R,Original Screenplay,Drama,Fiction,6.7,8125
Mumford,4559569,4559569,28700000,Sep 24 1999,R,Original Screenplay,Comedy,Fiction,6.7,6303
Pi,3221152,4678513,68000,Jul 10 1998,R,Original Screenplay,Horror/Thriller,Fiction,7.5,53699
Lovely and Amazing,4210379,4695781,250000,Jun 28 2002,R,Original Screenplay,Drama,Fiction,6.8,3936
Held Up,4714090,4714090,8000000,May 12 2000,PG/PG-13,Original Screenplay,Comedy,Fiction,4.7,1840
Diary of the Dead,952620,4726656,2750000,Feb 15 2008,R,Original Screenplay,Horror/Thriller,Fiction,6,20792
Welcome to the Dollhouse,4198137,4726732,800000,May 10 1996,R,Original Screenplay,Comedy,Fiction,7.3,13469
Duets,4734235,4734235,16000000,Sep 15 2000,R,Original Screenplay,Drama,Fiction,5.7,5340
A Walk on the Moon,4741987,4741987,14000000,Mar 26 1999,R,Original Screenplay,Drama,Fiction,6.4,4125
Igby Goes Down,4777465,4777465,9000000,Sep 13 2002,R,Original Screenplay,Comedy,Fiction,7,19050
Slackers,4814244,4814244,11000000,Feb 01 2002,R,Original Screenplay,Comedy,Fiction,4.9,7934
"Paris, je t'aime",4857374,4857374,13000000,May 04 2007,R,Original Screenplay,Drama,Fiction,6.6,175
Girl 6,4880941,4880941,12000000,Mar 22 1996,R,Original Screenplay,Comedy,Fiction,4.9,3348
Hamlet 2,4886216,4898285,9000000,Aug 22 2008,R,Original Screenplay,Comedy,Fiction,6.4,9017
Bubble Boy,5002310,5002310,13000000,Aug 24 2001,PG/PG-13,Original Screenplay,Comedy,Fiction,5.4,11073
Exotica,5046118,5046118,1500000,Sep 23 1994,R,Original Screenplay,Drama,Fiction,7.1,8402
High Tension,3681066,5208449,2850000,Jun 10 2005,R,Original Screenplay,Horror/Thriller,Fiction,5.4,165
The In Crowd,5217498,5217498,15000000,Jul 19 2000,PG/PG-13,Original Screenplay,Horror/Thriller,Fiction,4.2,2720
Black and White,5241315,5241315,10000000,Apr 05 2000,R,Original Screenplay,Drama,Fiction,6.6,452
Love Letters,5269990,5269990,550000,Apr 27 1984,PG/PG-13,Original Screenplay,Horror/Thriller,Fiction,7.3,477
Before Sunrise,5274005,5274005,2500000,Jan 27 1995,R,Original Screenplay,Drama,Fiction,8,39705
Frozen River,2503902,5281776,1000000,Aug 01 2008,R,Original Screenplay,Drama,Fiction,7.2,10447
C'era una volta il West,5321508,5321508,5000000,May 28 1969,PG/PG-13,Original Screenplay,Western/Musical,Fiction,8.8,74184
Equilibrium,1190018,5345869,20000000,Dec 06 2002,R,Original Screenplay,Action/Adventure,Fiction,7.7,86428
Me and You and Everyone We Know,3885134,5409058,2000000,Jun 17 2005,R,Original Screenplay,Drama,Fiction,7.4,17135
Made,5308707,5476060,5000000,Jul 13 2001,R,Original Screenplay,Comedy,Fiction,6.3,9720
Say It Isn't So,5516708,5516708,25000000,Mar 23 2001,R,Original Screenplay,Comedy,Fiction,4.6,7736
For Your Consideration,5549923,5549923,12000000,Nov 17 2006,PG/PG-13,Original Screenplay,Comedy,Fiction,6.2,7780
College,4694491,5629618,6000000,Aug 29 2008,R,Original Screenplay,Comedy,Fiction,4.3,6496
Underclassman,5654777,5654777,25000000,Sep 02 2005,PG/PG-13,Original Screenplay,Horror/Thriller,Fiction,3.3,3249
The Pallbearer,5656388,5656388,8000000,May 03 1996,PG/PG-13,Original Screenplay,Comedy,Fiction,4.7,4166
Kundun,5686694,5686694,28000000,Dec 25 1997,PG/PG-13,Original Screenplay,Drama,Non-Fiction,7,10248
Happiness,2746453,5746453,3000000,Oct 16 1998,Other,Original Screenplay,Comedy,Fiction,6.5,64
Light It Up,5871603,5871603,13000000,Nov 10 1999,R,Original Screenplay,Drama,Fiction,5.4,2257
Harsh Times,3337931,5963961,2000000,Nov 10 2006,R,Original Screenplay,Drama,Fiction,7,26347
Foolish,6026908,6026908,1600000,Apr 09 1999,R,Original Screenplay,Comedy,Fiction,3.8,353
Deuces Wild,6044618,6044618,10000000,May 03 2002,R,Original Screenplay,Drama,Fiction,5.3,4010
Celebrity,5078660,6200000,12000000,Nov 20 1998,R,Original Screenplay,Comedy,Fiction,6.1,10978
Dick,6276869,6276869,13000000,Aug 04 1999,PG/PG-13,Original Screenplay,Comedy,Fiction,6.1,10451
What Planet Are You From?,6291602,6291602,50000000,Mar 03 2000,R,Original Screenplay,Comedy,Fiction,5.4,5304
Bound,3802260,6300000,4500000,Oct 04 1996,R,Original Screenplay,Horror/Thriller,Fiction,7.4,23564
Thirteen,4601043,6302406,2000000,Aug 20 2003,R,Original Screenplay,Drama,Fiction,7,31482
Warriors of Virtue,6448817,6448817,35000000,May 02 1997,PG/PG-13,Original Screenplay,Action/Adventure,Fiction,4,1202
Switchback,6504442,6504442,38000000,Oct 31 1997,R,Original Screenplay,Action/Adventure,Fiction,6.1,5141
Lucky You,5755286,6521829,55000000,May 04 2007,PG/PG-13,Original Screenplay,Drama,Fiction,5.9,9870
Swingers,4505922,6542637,200000,Oct 18 1996,R,Original Screenplay,Comedy,Fiction,6.2,431
Lost and Found,6552255,6552255,14000000,Apr 23 1999,PG/PG-13,Original Screenplay,Comedy,Fiction,4.8,118
Femme Fatale,6592103,6592103,35000000,Nov 06 2002,R,Original Screenplay,Horror/Thriller,Fiction,6.3,16693
American History X,6719864,6719864,10000000,Oct 30 1998,R,Original Screenplay,Drama,Fiction,8.6,224857
The Forsaken,6755271,6755271,5000000,Apr 27 2001,R,Original Screenplay,Horror/Thriller,Fiction,5.1,4679
Moonlight Mile,6830957,6830957,21000000,Sep 27 2002,PG/PG-13,Original Screenplay,Drama,Fiction,6.7,8346
Namastey London,1207007,6831069,8400000,Mar 23 2007,Other,Original Screenplay,Comedy,Fiction,6.7,1511
200 Cigarettes,6852450,6852450,6000000,Feb 26 1999,R,Original Screenplay,Comedy,Fiction,5.4,8645
IndigËnes,320700,6877936,18900000,Dec 15 2006,Other,Original Screenplay,Drama,Fiction,7.2,5775
Moon,5010163,6934829,5000000,Jun 12 2009,R,Original Screenplay,Horror/Thriller,Fiction,8,55251
Sexy Beast,6946056,6946056,4300000,Jun 13 2001,R,Original Screenplay,Drama,Fiction,7.1,20916
Screwed,6982680,6982680,12000000,May 12 2000,PG/PG-13,Original Screenplay,Comedy,Fiction,5.1,4411
Crossover,7009668,7009668,5600000,Sep 01 2006,PG/PG-13,Original Screenplay,Drama,Fiction,1.7,7466
An American Carol,7013191,7013191,20000000,Oct 03 2008,PG/PG-13,Original Screenplay,Comedy,Fiction,4.5,6000
Veer-Zaara,2938532,7017859,7000000,Nov 12 2004,Other,Original Screenplay,Drama,Fiction,7.3,4155
The Action/Adventures of Pluto Nash,4411102,7094995,100000000,Aug 16 2002,PG/PG-13,Original Screenplay,Comedy,Fiction,3.7,9207
Gigli,6087542,7266209,54000000,Aug 01 2003,R,Original Screenplay,Comedy,Fiction,2.4,29031
Phat Girlz,7061128,7271305,3000000,Apr 07 2006,PG/PG-13,Original Screenplay,Comedy,Fiction,2.2,6343
The Jerky Boys,7555256,7555256,4000000,Feb 03 1995,R,Original Screenplay,Comedy,Fiction,3.9,1481
Ong-Bak 2,102458,7583050,15000000,Sep 25 2009,R,Original Screenplay,Action/Adventure,Fiction,4.7,887
The Station Agent,5801558,7773824,500000,Oct 03 2003,R,Original Screenplay,Drama,Fiction,7.8,22274
Serial Mom,7881335,7881335,13000000,Apr 13 1994,R,Original Screenplay,Comedy,Fiction,6.4,10999
The Alamo,7900000,7900000,12000000,Oct 24 1960,PG/PG-13,Original Screenplay,Western/Musical,Fiction,5.9,10063
Connie & Carla,8047525,8047525,20000000,Apr 16 2004,PG/PG-13,Original Screenplay,Comedy,Fiction,6,4359
Woo,8064972,8064972,13000000,May 08 1998,R,Original Screenplay,Comedy,Fiction,3.4,982
Firestorm,8123860,8123860,19000000,Jan 09 1998,R,Original Screenplay,Action/Adventure,Fiction,4.4,2118
Birthday Girl,4919896,8130727,13000000,Feb 01 2002,R,Original Screenplay,Comedy,Fiction,6,13366
Code Name: The Cleaner,8135024,8135024,20000000,Jan 05 2007,PG/PG-13,Original Screenplay,Comedy,Fiction,4,5277
A Simple Wish,8165213,8165213,28000000,Jul 11 1997,PG/PG-13,Original Screenplay,Comedy,Fiction,4.9,1545
White Noise 2: The Light,0,8243567,10000000,Jan 08 2008,PG/PG-13,Original Screenplay,Horror/Thriller,Fiction,5.9,5647
Shadow of the Vampire,8279017,8279017,8000000,Dec 29 2000,R,Original Screenplay,Drama,Fiction,6.8,18221
Running Scared,6855137,8345277,17000000,Feb 24 2006,R,Original Screenplay,Action/Adventure,Fiction,7.5,39447
Bon Voyage,2353728,8361736,20000000,Mar 19 2004,PG/PG-13,Original Screenplay,Comedy,Fiction,6.5,622
Death to Smoochy,8355815,8374062,50000000,Mar 29 2002,R,Original Screenplay,Comedy,Fiction,6.2,22379
Bones,7316658,8378853,10000000,Oct 24 2001,R,Original Screenplay,Horror/Thriller,Fiction,3.9,3524
Play it to the Bone,8427204,8427204,24000000,Dec 24 1999,R,Original Screenplay,Comedy,Fiction,5.1,6039
Les invasions barbares,8460000,8460000,5000000,May 09 2003,R,Original Screenplay,Drama,Fiction,7.8,14322
De battre mon coeur s'est arrÍtÈ,1023424,8589831,5500000,Jul 01 2005,Other,Original Screenplay,Drama,Fiction,7.3,7295
Suspect Zero,8712564,8712564,27000000,Aug 27 2004,R,Original Screenplay,Horror/Thriller,Fiction,5.8,9804
The Rocker,6409528,8767338,15000000,Aug 20 2008,PG/PG-13,Original Screenplay,Comedy,Fiction,6.3,11859
The Inkwell,8864699,8864699,8000000,Apr 22 1994,R,Original Screenplay,Comedy,Fiction,5.7,542
"Mystery, Alaska",8891623,8891623,28000000,Oct 01 1999,R,Original Screenplay,Comedy,Fiction,5.5,1338
Trippin',9017070,9017070,3000000,May 12 1999,R,Original Screenplay,Comedy,Fiction,4.6,673
Super Babies: Baby Geniuses 2,9109322,9109322,20000000,Aug 27 2004,PG/PG-13,Original Screenplay,Comedy,Fiction,1.4,10886
Bella,8093373,9220041,3300000,Oct 26 2007,PG/PG-13,Original Screenplay,Drama,Fiction,7.3,6562
Stone Cold,9286314,9286314,25000000,May 17 1991,R,Original Screenplay,Action/Adventure,Fiction,4.6,52
Black Snake Moan,9396870,9396870,15000000,Mar 02 2007,R,Original Screenplay,Drama,Fiction,7.1,28145
Sleepover,9408183,9408183,10000000,Jul 09 2004,PG/PG-13,Original Screenplay,Comedy,Fiction,4.6,4774
Ta Ra Rum Pum,872643,9443864,7400000,Apr 27 2007,Other,Original Screenplay,Comedy,Fiction,5.1,1051
Jade,9812870,9812870,50000000,Oct 13 1995,R,Original Screenplay,Horror/Thriller,Fiction,4.8,5279
3 Strikes,9821335,9821335,4000000,Mar 01 2000,R,Original Screenplay,Comedy,Fiction,2.9,905
Maria Full of Grace,6529624,9892434,3200000,Jul 16 2004,R,Original Screenplay,Drama,Fiction,7.6,16134
Brazil,9929135,9929135,15000000,Dec 18 1985,R,Original Screenplay,Comedy,Fiction,8,76635
Lucky Numbers,10014234,10014234,65000000,Oct 27 2000,R,Original Screenplay,Comedy,Fiction,4.9,5461
Cutthroat Island,10017322,10017322,92000000,Dec 22 1995,PG/PG-13,Original Screenplay,Action/Adventure,Fiction,5.3,10346
Le Violon rouge,10019109,10019109,10000000,Jun 11 1999,R,Original Screenplay,Drama,Fiction,7.7,14545
Dirty Work,10020081,10020081,13000000,Jun 12 1998,PG/PG-13,Original Screenplay,Comedy,Fiction,4.8,207
Duplex,9652000,10070651,40000000,Sep 26 2003,PG/PG-13,Original Screenplay,Comedy,Fiction,5.7,19238
The Wash,10097096,10097096,4000000,Nov 14 2001,R,Original Screenplay,Comedy,Fiction,3.6,3095
Saved!,8886160,10102511,5000000,May 28 2004,PG/PG-13,Original Screenplay,Comedy,Fiction,7,22784
Away We Go,9451946,10108016,21000000,Jun 05 2009,R,Original Screenplay,Comedy,Fiction,7.3,14929
Alpha and Omega 3D,10115431,10115431,20000000,Sep 17 2010,PG/PG-13,Original Screenplay,Action/Adventure,Fiction,6.2,83
Bats,10155691,10155691,6500000,Oct 22 1999,R,Original Screenplay,Horror/Thriller,Fiction,3.3,5565
Facing the Giants,10178331,10178331,100000,Sep 29 2006,PG/PG-13,Original Screenplay,Drama,Fiction,6,4901
Woman on Top,5018450,10192613,8000000,Sep 22 2000,R,Original Screenplay,Comedy,Fiction,4.9,4743
I Got the Hook-Up!,10317779,10317779,3500000,May 27 1998,R,Original Screenplay,Comedy,Fiction,3.3,985
Knock Off,10319915,10319915,35000000,Sep 04 1998,R,Original Screenplay,Action/Adventure,Fiction,4.1,5852
Town & Country,6712451,10364769,105000000,Apr 27 2001,R,Original Screenplay,Comedy,Fiction,4.4,2889
The Man,8330720,10393696,20000000,Sep 09 2005,PG/PG-13,Original Screenplay,Comedy,Fiction,5.4,9356
Head Over Heels,10397365,10397365,14000000,Feb 02 2001,PG/PG-13,Original Screenplay,Comedy,Fiction,4.8,6574
First Daughter,9055010,10419084,30000000,Sep 24 2004,PG/PG-13,Original Screenplay,Comedy,Fiction,4.7,6839
The Brothers McMullen,10426506,10426506,25000,Aug 09 1995,R,Original Screenplay,Drama,Fiction,6.4,4365
The Cooler,8291572,10464788,4000000,Nov 26 2003,R,Original Screenplay,Drama,Fiction,7,19072
Narc,10465659,10465659,7500000,Dec 20 2002,R,Original Screenplay,Horror/Thriller,Fiction,7.3,19248
Bandidas,0,10496317,35000000,Sep 22 2006,PG/PG-13,Original Screenplay,Western/Musical,Fiction,5.6,12103
Home Fries,10513979,10513979,15000000,Nov 25 1998,PG/PG-13,Original Screenplay,Comedy,Fiction,4.7,4806
Lars and the Real Girl,5956480,10553442,12500000,Oct 12 2007,PG/PG-13,Original Screenplay,Comedy,Fiction,7.5,32423
Mad City,10561038,10561038,50000000,Nov 07 1997,PG/PG-13,Original Screenplay,Drama,Fiction,6.1,9611
Three to Tango,10570375,10570375,20000000,Oct 22 1999,PG/PG-13,Original Screenplay,Comedy,Fiction,5.8,11148
Drop Dead Gorgeous,10571408,10571408,10000000,Jul 23 1999,PG/PG-13,Original Screenplay,Comedy,Fiction,6.2,16344
The Astronaut's Wife,10672566,10672566,34000000,Aug 27 1999,R,Original Screenplay,Horror/Thriller,Fiction,4.9,20259
Deconstructing Harry,10686841,10686841,20000000,Dec 12 1997,R,Original Screenplay,Comedy,Fiction,7.2,16820
Universal Soldier II: The Return,10447421,10717421,40000000,Aug 20 1999,R,Original Screenplay,Action/Adventure,Fiction,3.4,10233
Here on Earth,10494147,10845127,15000000,Mar 24 2000,PG/PG-13,Original Screenplay,Drama,Fiction,4.6,4929
Extract,10823158,10849158,7500000,Sep 04 2009,R,Original Screenplay,Comedy,Fiction,6.4,12371
Antitrust,10965209,10965209,30000000,Jan 12 2001,PG/PG-13,Original Screenplay,Horror/Thriller,Fiction,6,16263
The Astronaut Farmer,11003643,11003643,13000000,Feb 23 2007,PG/PG-13,Original Screenplay,Drama,Fiction,6.4,10506
You Can Count on Me,9180275,11005992,1200000,Nov 10 2000,R,Original Screenplay,Drama,Fiction,7.7,14261
Deep Rising,11203026,11203026,45000000,Jan 30 1998,R,Original Screenplay,Action/Adventure,Fiction,5.7,12484
Banlieue 13,1200216,11208291,15000000,Jun 02 2006,R,Original Screenplay,Action/Adventure,Fiction,7.1,21427
Chill Factor,11263966,11263966,34000000,Sep 01 1999,R,Original Screenplay,Action/Adventure,Fiction,4.9,5374
Before Sunset,5792822,11293790,2000000,Jul 02 2004,R,Original Screenplay,Drama,Fiction,8,45535
Beyond Borders,4426297,11427090,60000000,Oct 24 2003,R,Original Screenplay,Drama,Fiction,6.2,9575
Turbulence,11532774,11532774,55000000,Jan 10 1997,R,Original Screenplay,Horror/Thriller,Fiction,4.5,5147
The Cookout,11540112,11540112,16000000,Sep 03 2004,PG/PG-13,Original Screenplay,Comedy,Fiction,3.2,1659
Two Lovers,3149034,11549034,12000000,Feb 13 2009,R,Original Screenplay,Drama,Fiction,7.3,10325
The Order,7659747,11559747,35000000,Sep 05 2003,R,Original Screenplay,Horror/Thriller,Fiction,4.9,9119
Get Over It,11560259,11560259,10000000,Mar 09 2001,PG/PG-13,Original Screenplay,Comedy,Fiction,5.5,9350
The Muse,11614954,11614954,15000000,Aug 27 1999,PG/PG-13,Original Screenplay,Comedy,Fiction,5.5,6507
3 Ninjas Kick Back,11744960,11744960,20000000,May 06 1994,PG/PG-13,Original Screenplay,Action/Adventure,Fiction,3.2,3107
End of the Spear,11748661,11748661,10000000,Jan 20 2006,PG/PG-13,Original Screenplay,Drama,Fiction,6.7,2884
Tales from the Hood,11784569,11784569,6000000,May 24 1995,R,Original Screenplay,Horror/Thriller,Fiction,5.8,1860
Mulholland Drive,7219578,11919578,15000000,Oct 08 2001,R,Original Screenplay,Drama,Fiction,7.9,103026
Dark Blue,9237470,11933396,15000000,Feb 21 2003,R,Original Screenplay,Drama,Fiction,6.6,10881
Holy Man,12069719,12069719,60000000,Oct 09 1998,PG/PG-13,Original Screenplay,Comedy,Fiction,4.7,9105
Confidence,12212417,12212417,15000000,Apr 25 2003,R,Original Screenplay,Drama,Fiction,6.8,17111
Abandon,10719367,12219367,25000000,Oct 18 2002,PG/PG-13,Original Screenplay,Horror/Thriller,Fiction,4.8,5361
Chasing Liberty,12189514,12291975,23000000,Jan 09 2004,PG/PG-13,Original Screenplay,Comedy,Fiction,5.8,7855
Undisputed,12398628,12398628,20000000,Aug 23 2002,R,Original Screenplay,Drama,Fiction,5.8,6837
Knockaround Guys,11660180,12419700,15000000,Oct 11 2002,R,Original Screenplay,Drama,Fiction,6,11019
Breakin' All the Rules,12232382,12512317,9000000,May 14 2004,PG/PG-13,Original Screenplay,Comedy,Fiction,5.3,2643
Sorority Boys,10198766,12516222,12000000,Mar 22 2002,R,Original Screenplay,Comedy,Fiction,5.1,7392
Gattaca,12532777,12532777,36000000,Oct 24 1997,PG/PG-13,Original Screenplay,Drama,Fiction,7.8,70906
Love Jones,12554569,12554569,10000000,Mar 14 1997,R,Original Screenplay,Drama,Fiction,6.7,1165
Extreme Ops,4835968,12624471,40000000,Nov 27 2002,PG/PG-13,Original Screenplay,Action/Adventure,Fiction,4.1,3195
Idlewild,12669914,12669914,15000000,Aug 25 2006,R,Original Screenplay,Western/Musical,Fiction,5.8,3056
"Bon Cop, Bad Cop",12671300,12671300,8000000,Aug 04 2006,Other,Original Screenplay,Comedy,Fiction,6.9,151
The Omega Code,12610552,12678312,7200000,Oct 15 1999,PG/PG-13,Original Screenplay,Action/Adventure,Fiction,3.3,3814
Highlander: Endgame,12801190,12801190,15000000,Sep 01 2000,R,Original Screenplay,Action/Adventure,Fiction,4.3,8421
Slither,7802450,12834936,15250000,Mar 31 2006,R,Original Screenplay,Horror/Thriller,Fiction,6.6,26101
They,12840842,12840842,17000000,Nov 27 2002,PG/PG-13,Original Screenplay,Horror/Thriller,Fiction,4.6,6550
Highlander,5900000,12900000,16000000,Mar 07 1986,R,Original Screenplay,Action/Adventure,Fiction,7.2,40802
Living Out Loud,12905901,12905901,12000000,Oct 30 1998,R,Original Screenplay,Drama,Fiction,6.5,3040
Lone Star,12961389,12961389,5000000,Jun 21 1996,R,Original Screenplay,Drama,Fiction,7.6,14599
The Crew,13019253,13019253,23000000,Aug 25 2000,PG/PG-13,Original Screenplay,Comedy,Fiction,6,1307
Crooklyn,13024170,13024170,14000000,May 13 1994,PG/PG-13,Original Screenplay,Comedy,Fiction,6.5,3137
The Way of the Gun,6047856,13061935,9000000,Sep 08 2000,R,Original Screenplay,Action/Adventure,Fiction,6.5,17513
Anything Else,3203044,13203044,18000000,Sep 19 2003,R,Original Screenplay,Comedy,Fiction,6.4,13010
FearDotCom,13208023,13208023,40000000,Aug 30 2002,R,Original Screenplay,Horror/Thriller,Fiction,3.1,11438
American Outlaws,13264986,13264986,35000000,Aug 17 2001,PG/PG-13,Original Screenplay,Western/Musical,Fiction,5.6,7396
Rachel Getting Married,12796277,13326280,12000000,Oct 03 2008,R,Original Screenplay,Drama,Fiction,6.9,20451
Secrets & Lies,13417292,13417292,4500000,Sep 28 1996,R,Original Screenplay,Drama,Fiction,7.9,14364
Tomcats,13558739,13558739,11000000,Mar 30 2001,R,Original Screenplay,Comedy,Fiction,4.9,9505
Osmosis Jones,13596911,13596911,70000000,Aug 10 2001,PG/PG-13,Original Screenplay,Comedy,Fiction,6,10959
The Ladies Man,13592872,13719474,11000000,Oct 13 2000,R,Original Screenplay,Comedy,Fiction,4.7,6556
Highlander III: The Sorcerer,13738574,13738574,26000000,Jan 27 1995,PG/PG-13,Original Screenplay,Action/Adventure,Fiction,3.8,7763
Juwanna Man,13571817,13771817,15600000,Jun 21 2002,PG/PG-13,Original Screenplay,Comedy,Fiction,4.1,3062
She's the One,9482579,13795053,3500000,Aug 23 1996,R,Original Screenplay,Comedy,Fiction,6,8159
Monsoon Wedding,13876974,13876974,1200000,Feb 22 2002,R,Original Screenplay,Comedy,Fiction,7.2,11314
Dirty Pretty Things,8112414,13904766,10000000,Jul 18 2003,R,Original Screenplay,Drama,Fiction,7.5,18554
Out Cold,13906394,13906394,11000000,Nov 21 2001,PG/PG-13,Original Screenplay,Comedy,Fiction,5.8,7153
Stealing Harvard,13973532,13973532,25000000,Sep 13 2002,PG/PG-13,Original Screenplay,Comedy,Fiction,4.7,6899
In Too Deep,14026509,14026509,7000000,Aug 25 1999,R,Original Screenplay,Drama,Fiction,5.5,2529
In the Land of Women,11052958,14140402,10500000,Apr 20 2007,PG/PG-13,Original Screenplay,Comedy,Fiction,6.7,13550
Supernova,14218868,14218868,60000000,Jan 14 2000,PG/PG-13,Original Screenplay,Action/Adventure,Fiction,6.8,127
Freddy Got Fingered,14249005,14249005,15000000,Apr 20 2001,R,Original Screenplay,Comedy,Fiction,4,25033
Sukkar banat,1060591,14253760,1600000,Feb 01 2008,PG/PG-13,Original Screenplay,Comedy,Fiction,7,3799
Ballistic: Ecks vs. Sever,14294842,14294842,70000000,Sep 20 2002,R,Original Screenplay,Action/Adventure,Fiction,3.4,11112
Turistas,7027762,14321070,10000000,Dec 01 2006,R,Original Screenplay,Horror/Thriller,Fiction,6.9,83
Hot Rod,13938332,14334401,25000000,Aug 03 2007,PG/PG-13,Original Screenplay,Comedy,Fiction,6.5,22250
Les Triplettes de Belleville,7301288,14440113,2000000,Nov 26 2003,PG/PG-13,Original Screenplay,Western/Musical,Fiction,7.7,19761
Mrs. Henderson Presents,11036366,14466366,20000000,Dec 09 2005,R,Original Screenplay,Comedy,Fiction,7.1,8831
Welcome to Mooseport,14469428,14469428,26000000,Feb 20 2004,PG/PG-13,Original Screenplay,Comedy,Fiction,5.2,6907
Run Lola Run,7267324,14533173,1750000,Jun 18 1999,R,Original Screenplay,Horror/Thriller,Fiction,6,91
Soul Plane,13922211,14553807,16000000,May 28 2004,R,Original Screenplay,Comedy,Fiction,3.7,9143
Envy,13548322,14566246,20000000,Apr 30 2004,PG/PG-13,Original Screenplay,Comedy,Fiction,4.6,15655
I Heart Huckabees,12784713,14584713,22000000,Oct 01 2004,R,Original Screenplay,Comedy,Fiction,6.8,35878
Birth,5005899,14603001,20000000,Oct 29 2004,R,Original Screenplay,Drama,Fiction,6.3,25
Raise Your Voice,10411980,14811980,15000000,Oct 08 2004,PG/PG-13,Original Screenplay,Drama,Fiction,5.2,8634
Hollywood Ending,4839383,14839383,16000000,May 03 2002,PG/PG-13,Original Screenplay,Comedy,Fiction,6.3,10486
Eve's Bayou,14843425,14843425,5000000,Nov 07 1997,R,Original Screenplay,Drama,Fiction,7,4509
Flirting with Disaster,14853474,14853474,7000000,Mar 22 1996,R,Original Screenplay,Comedy,Fiction,6.7,8474
Boat Trip,8586376,14933713,15000000,Mar 21 2003,R,Original Screenplay,Comedy,Fiction,4.7,13258
