Rank,Title,US Gross,Worldwide Gross,Production Budget,Release Date,MPAA Rating,Source,Major Genre,Creative Type,IMDB Rating,IMDB Votes
1074,Jumanji,100458310,262758310,65000000,Dec 15 1995,PG/PG-13,Adapted screenplay,Action/Adventure,Fiction,6.4,54973
1075,Tomorrow Never Dies,125304276,339504276,110000000,Dec 19 1997,PG/PG-13,Adapted screenplay,Action/Adventure,Fiction,6.4,46650
1076,Hannibal,165092266,350100280,87000000,Feb 09 2001,R,Adapted screenplay,Horror/Thriller,Fiction,6.4,74862
1077,Night at the Museum,250863268,574480841,110000000,Dec 22 2006,PG/PG-13,Adapted screenplay,Comedy,Fiction,6.4,67133
1078,The Da Vinci Code,217536138,757236138,125000000,May 19 2006,PG/PG-13,Adapted screenplay,Horror/Thriller,Fiction,6.4,116903
1079,Astro Boy,19551067,44093014,65000000,Oct 23 2009,PG/PG-13,Adapted screenplay,Action/Adventure,Fiction,6.4,5265
1080,The Punisher,33664370,54664370,33000000,Apr 16 2004,R,Adapted screenplay,Action/Adventure,Fiction,6.4,50482
1081,Wanted,134508551,340934768,75000000,Jun 27 2008,R,Adapted screenplay,Action/Adventure,Fiction,6.4,1089
1082,Spider-Man 3,336530303,890871626,258000000,May 04 2007,PG/PG-13,Adapted screenplay,Action/Adventure,Fiction,6.4,141513
1083,Final Fiction: The Spirits Within,32131830,85131830,137000000,Jul 11 2001,PG/PG-13,Adapted screenplay,Action/Adventure,Fiction,6.4,36227
1084,Resident Evil,40119709,103787401,35000000,Mar 15 2002,R,Adapted screenplay,Horror/Thriller,Fiction,6.4,68342
1085,The Libertine,4835065,9448623,22000000,Nov 23 2005,R,Adapted screenplay,Drama,Fiction,6.4,16266
1086,She's the Man,33889159,56889159,25000000,Mar 17 2006,PG/PG-13,Adapted screenplay,Comedy,Fiction,6.4,26513
1087,Madison,517262,517262,14000000,Apr 22 2005,PG/PG-13,Adapted screenplay,Drama,Non-Fiction,6.4,536
1088,Tumbleweeds,1350248,1788168,312000,Nov 24 1999,PG/PG-13,Adapted screenplay,Drama,Non-Fiction,6.4,2152
1089,Slums of Beverly Hills,5502773,5502773,5000000,Aug 14 1998,R,Adapted screenplay,Comedy,Non-Fiction,6.4,5821
1090,White Squall,10229300,10229300,38000000,Feb 02 1996,PG/PG-13,Adapted screenplay,Action/Adventure,Non-Fiction,6.4,8385
1091,Extraordinary Measures,12482741,12697741,31000000,Jan 22 2010,PG/PG-13,Adapted screenplay,Drama,Non-Fiction,6.4,3770
1092,Ghosts of Mississippi,13052741,13052741,36000000,Dec 20 1996,PG/PG-13,Adapted screenplay,Drama,Non-Fiction,6.4,5276
1093,Wyatt Earp,25052000,25052000,63000000,Jun 24 1994,PG/PG-13,Adapted screenplay,Western/Musical,Non-Fiction,6.4,15614
1094,The Sorcerer's Apprentice,62492818,200092818,160000000,Jul 14 2010,PG/PG-13,Adapted screenplay,Action/Adventure,Fiction,6.4,9108
1095,Star Trek: Nemesis,43254409,67312826,60000000,Dec 13 2002,PG/PG-13,Adapted screenplay,Action/Adventure,Fiction,6.4,28449
1096,Star Trek: Insurrection,70187658,117800000,70000000,Dec 11 1998,PG/PG-13,Adapted screenplay,Action/Adventure,Fiction,6.4,26559
1097,Good Dick,28835,28835,200000,Oct 10 2008,R,Original Screenplay,Drama,Fiction,6.4,3004
1098,Winter Passing,107492,113783,3500000,Feb 17 2006,R,Original Screenplay,Drama,Fiction,6.4,4360
1099,Feast,56131,341808,3200000,Sep 22 2006,R,Original Screenplay,Horror/Thriller,Fiction,6.4,12023
1100,Brooklyn Rules,458232,458232,8000000,May 18 2007,R,Original Screenplay,Drama,Fiction,6.4,2797
1101,Outlander,166003,1250617,50000000,Jan 23 2009,R,Original Screenplay,Action/Adventure,Fiction,6.4,18299
1102,The Funeral,1212799,1412799,12500000,Nov 01 1996,R,Original Screenplay,Drama,Fiction,6.4,4084
1103,Detroit Rock City,4217115,4217115,16000000,Aug 13 1999,R,Original Screenplay,Comedy,Fiction,6.4,15092
1104,Four Rooms,4301000,4301000,4000000,Dec 25 1995,R,Original Screenplay,Comedy,Fiction,6.4,34328
1105,A Walk on the Moon,4741987,4741987,14000000,Mar 26 1999,R,Original Screenplay,Drama,Fiction,6.4,4125
1106,Hamlet 2,4886216,4898285,9000000,Aug 22 2008,R,Original Screenplay,Comedy,Fiction,6.4,9017
1107,Serial Mom,7881335,7881335,13000000,Apr 13 1994,R,Original Screenplay,Comedy,Fiction,6.4,10999
1108,The Brothers McMullen,10426506,10426506,25000,Aug 09 1995,R,Original Screenplay,Drama,Fiction,6.4,4365
1109,Extract,10823158,10849158,7500000,Sep 04 2009,R,Original Screenplay,Comedy,Fiction,6.4,12371
1110,The Astronaut Farmer,11003643,11003643,13000000,Feb 23 2007,PG/PG-13,Original Screenplay,Drama,Fiction,6.4,10506
1111,Anything Else,3203044,13203044,18000000,Sep 19 2003,R,Original Screenplay,Comedy,Fiction,6.4,13010
1112,Cry Wolf,10047674,15585495,1000000,Sep 16 2005,PG/PG-13,Original Screenplay,Horror/Thriller,Fiction,6.4,372
1113,Tales from the Crypt: Demon Knight,21089146,21089146,12000000,Jan 13 1995,R,Original Screenplay,Horror/Thriller,Fiction,6.4,6430
1114,Blast from the Past,26613620,26613620,35000000,Feb 12 1999,PG/PG-13,Original Screenplay,Comedy,Fiction,6.4,23243
1115,Nurse Betty,25170054,27732366,24000000,Sep 08 2000,R,Original Screenplay,Comedy,Fiction,6.4,20354
1116,Titan A.E.,22751979,36751979,75000000,Jun 16 2000,PG/PG-13,Original Screenplay,Action/Adventure,Fiction,6.4,22286
1117,Soul Food,43492389,43492389,7500000,Sep 26 1997,R,Original Screenplay,Comedy,Fiction,6.4,2636
1118,A Lot Like Love,21835784,47835784,25000000,Apr 22 2005,PG/PG-13,Original Screenplay,Comedy,Fiction,6.4,17929
1119,Elizabethtown,26850426,50719373,54000000,Oct 14 2005,PG/PG-13,Original Screenplay,Drama,Fiction,6.4,31775
1120,Zoolander,45172250,60780981,28000000,Sep 28 2001,PG/PG-13,Original Screenplay,Comedy,Fiction,6.4,69296
1121,Flatliners,61308153,61308153,26000000,Aug 10 1990,R,Original Screenplay,Horror/Thriller,Fiction,6.4,23295
1122,The Road to El Dorado,50802661,65700000,95000000,Mar 31 2000,PG/PG-13,Original Screenplay,Action/Adventure,Fiction,6.4,8876
1123,Outbreak,67823573,67823573,50000000,Mar 10 1995,R,Original Screenplay,Horror/Thriller,Fiction,6.4,33192
1124,Tears of the Sun,43632458,85632458,75000000,Mar 07 2003,R,Original Screenplay,Action/Adventure,Fiction,6.4,34304
1125,Rat Race,56607223,86607223,48000000,Aug 17 2001,PG/PG-13,Original Screenplay,Comedy,Fiction,6.4,40087
1126,Final Destination 2,46896664,89626226,26000000,Jan 31 2003,R,Original Screenplay,Horror/Thriller,Fiction,6.4,35737
1127,Bowfinger,66458769,98699769,55000000,Aug 13 1999,PG/PG-13,Original Screenplay,Comedy,Fiction,6.4,33389
1128,The Chronicles of Riddick,57712751,107212751,120000000,Jun 11 2004,PG/PG-13,Original Screenplay,Action/Adventure,Fiction,6.4,49383
1129,Road Trip,68525609,119739110,16000000,May 19 2000,R,Original Screenplay,Comedy,Fiction,6.4,44702
1130,Intolerable Cruelty,35327628,121327628,60000000,Oct 10 2003,PG/PG-13,Original Screenplay,Comedy,Fiction,6.4,36323
1131,U-571,77086030,127630030,62000000,Apr 21 2000,PG/PG-13,Original Screenplay,Action/Adventure,Fiction,6.4,32528
1132,Talladega Nights: The Ballad of Ricky Bobby,148213377,163013377,73000000,Aug 04 2006,PG/PG-13,Original Screenplay,Comedy,Fiction,6.4,50407
1133,The Ugly Truth,88915214,203115214,38000000,Jul 24 2009,R,Original Screenplay,Comedy,Fiction,6.4,27888
1134,Robots,128200012,260700012,80000000,Mar 11 2005,PG/PG-13,Original Screenplay,Action/Adventure,Fiction,6.4,27361
1135,Lethal Weapon 4,130444603,285400000,140000000,Jul 10 1998,R,Original Screenplay,Action/Adventure,Fiction,6.4,47846
1136,Rush Hour 2,226164286,347425832,90000000,Aug 03 2001,PG/PG-13,Original Screenplay,Action/Adventure,Fiction,6.4,52049
1137,Meet the Fockers,279167575,516567575,60000000,Dec 22 2004,PG/PG-13,Original Screenplay,Comedy,Fiction,6.4,69613
1138,City of Angels,78750909,198750909,55000000,Apr 10 1998,PG/PG-13,Adapted screenplay,Drama,Fiction,6.4,40053
1139,The Other Side of Heaven,4720371,4720371,7000000,Dec 14 2001,PG/PG-13,Adapted screenplay,Drama,Non-Fiction,6.3,1670
1140,Big Trouble,7262288,8488871,45000000,Apr 05 2002,PG/PG-13,Adapted screenplay,Comedy,Fiction,6.3,11610
1141,The Man Who Knew Too Little,13801755,13801755,20000000,Nov 14 1997,PG/PG-13,Adapted screenplay,Comedy,Fiction,6.3,11307
1142,Ella Enchanted,22913677,22913677,35000000,Apr 09 2004,PG/PG-13,Adapted screenplay,Comedy,Fiction,6.3,12020
1143,Blood Work,26199517,26199517,50000000,Aug 09 2002,R,Adapted screenplay,Horror/Thriller,Fiction,6.3,16751
1144,The Four Feathers,18306166,29882645,35000000,Sep 20 2002,PG/PG-13,Adapted screenplay,Drama,Fiction,6.3,13204
1145,Fever Pitch,42071069,50071069,40000000,Apr 08 2005,PG/PG-13,Adapted screenplay,Comedy,Fiction,6.3,16736
1146,Pooh's Heffalump Movie,18098433,52858433,20000000,Feb 11 2005,G,Adapted screenplay,Action/Adventure,Fiction,6.3,1605
1147,The 13th Warrior,32698899,61698899,125000000,Aug 27 1999,R,Adapted screenplay,Action/Adventure,Fiction,6.3,36151
1148,The Horse Whisperer,75383563,75383563,60000000,May 15 1998,PG/PG-13,Adapted screenplay,Drama,Fiction,6.3,15831
1149,The Bone Collector,66488090,151463090,48000000,Nov 05 1999,R,Adapted screenplay,Horror/Thriller,Fiction,6.3,46961
1150,The Sum of All Fears,118471320,193500000,68000000,May 31 2002,PG/PG-13,Adapted screenplay,Action/Adventure,Fiction,6.3,38586
1151,The World is Not Enough,126930660,361730660,135000000,Nov 19 1999,PG/PG-13,Adapted screenplay,Action/Adventure,Fiction,6.3,59406
1152,Surrogates,38577772,119668350,80000000,Sep 25 2009,PG/PG-13,Adapted screenplay,Action/Adventure,Fiction,6.3,36940
1153,10th & Wolf,54702,54702,8000000,Aug 18 2006,Other,Adapted screenplay,Drama,Non-Fiction,6.3,3655
1154,Wolf Creek,16186348,27649774,1100000,Dec 25 2005,R,Adapted screenplay,Horror/Thriller,Non-Fiction,6.3,22594
1155,Selena,35450113,35450113,20000000,Mar 21 1997,PG/PG-13,Adapted screenplay,Drama,Non-Fiction,6.3,7996
1156,Notorious,36842118,44473591,19000000,Jan 16 2009,R,Adapted screenplay,Drama,Non-Fiction,6.3,9811
1157,Patch Adams,135041968,202200000,50000000,Dec 25 1998,PG/PG-13,Adapted screenplay,Comedy,Fiction,6.3,31481
1158,Jonah: A VeggieTales Movie,25571351,25606175,14000000,Oct 04 2002,G,Adapted screenplay,Action/Adventure,Fiction,6.3,1704
1159,Jackass: The Movie,64282312,75466905,5000000,Oct 25 2002,R,Adapted screenplay,Comedy,Fiction,6.3,27454
1160,Speed Racer,43945766,93394462,120000000,May 09 2008,PG/PG-13,Adapted screenplay,Action/Adventure,Fiction,6.3,32672
1161,Freeze Frame,0,91062,2000000,Dec 10 2004,R,Original Screenplay,Horror/Thriller,Fiction,6.3,1723
1162,There Goes My Baby,125169,125169,10500000,Sep 02 1994,R,Original Screenplay,Comedy,Fiction,6.3,507
1163,Ira and Abby,221096,221096,3500000,Sep 14 2007,R,Original Screenplay,Comedy,Fiction,6.3,855
1164,Northfork,1420578,1445140,1900000,Jul 11 2003,PG/PG-13,Original Screenplay,Drama,Fiction,6.3,3776
1165,Bamboozled,2185266,2373937,10000000,Oct 06 2000,R,Original Screenplay,Drama,Fiction,6.3,5958
1166,Romeo Is Bleeding,3275585,3275585,10000000,Feb 04 1994,R,Original Screenplay,Drama,Fiction,6.3,6537
1167,Made,5308707,5476060,5000000,Jul 13 2001,R,Original Screenplay,Comedy,Fiction,6.3,9720
1168,Femme Fatale,6592103,6592103,35000000,Nov 06 2002,R,Original Screenplay,Horror/Thriller,Fiction,6.3,16693
1169,The Rocker,6409528,8767338,15000000,Aug 20 2008,PG/PG-13,Original Screenplay,Comedy,Fiction,6.3,11859
1170,Birth,5005899,14603001,20000000,Oct 29 2004,R,Original Screenplay,Drama,Fiction,6.3,25
1171,Hollywood Ending,4839383,14839383,16000000,May 03 2002,PG/PG-13,Original Screenplay,Comedy,Fiction,6.3,10486
1172,Half Baked,17394881,17394881,8000000,Jan 16 1998,R,Original Screenplay,Comedy,Fiction,6.3,18791
1173,The Quick and the Dead,18552460,18552460,32000000,Feb 10 1995,R,Original Screenplay,Western/Musical,Fiction,6.3,27352
1174,crazy/beautiful,16929123,19929123,13000000,Jun 29 2001,PG/PG-13,Original Screenplay,Drama,Fiction,6.3,12102
1175,My Fellow Americans,22331846,22331846,21500000,Dec 20 1996,PG/PG-13,Original Screenplay,Comedy,Fiction,6.3,6366
1176,Event Horizon,26673242,26673242,60000000,Aug 15 1997,R,Original Screenplay,Horror/Thriller,Fiction,6.3,44671
1177,Set It Off,36049108,36049108,9000000,Nov 06 1996,R,Original Screenplay,Drama,Fiction,6.3,4570
1178,Kiss of the Dragon,36833473,36833473,25000000,Jul 06 2001,R,Original Screenplay,Action/Adventure,Fiction,6.3,22087
1179,The Faculty,40283321,40283321,15000000,Dec 25 1998,R,Original Screenplay,Horror/Thriller,Fiction,6.3,36139
1180,Wimbledon,16862585,41862585,35000000,Sep 17 2004,PG/PG-13,Original Screenplay,Comedy,Fiction,6.3,21996
1181,Basic,26599248,42598498,50000000,Mar 28 2003,R,Original Screenplay,Horror/Thriller,Fiction,6.3,25960
1182,Lakeview Terrace,39263506,44263506,20000000,Sep 19 2008,PG/PG-13,Original Screenplay,Horror/Thriller,Fiction,6.3,18547
1183,Sky Captain and the World of Tomorrow,37760080,49730854,70000000,Sep 17 2004,PG/PG-13,Original Screenplay,Action/Adventure,Fiction,6.3,40281
1184,Ninja Assassin,38122883,57422883,50000000,Nov 25 2009,R,Original Screenplay,Action/Adventure,Fiction,6.3,20078
1185,The Family Stone,60062868,91762868,18000000,Dec 16 2005,PG/PG-13,Original Screenplay,Comedy,Fiction,6.3,24434
1186,8MM,36443442,96398826,40000000,Feb 26 1999,R,Original Screenplay,Horror/Thriller,Fiction,6.3,47753
1187,Mars Attacks!,37771017,101371017,80000000,Dec 13 1996,PG/PG-13,Original Screenplay,Comedy,Fiction,6.3,76396
1188,Executive Decision,56679192,122079192,55000000,Mar 15 1996,R,Original Screenplay,Horror/Thriller,Fiction,6.3,18569
1189,Space Cowboys,90454043,128874043,65000000,Aug 04 2000,PG/PG-13,Original Screenplay,Action/Adventure,Fiction,6.3,29983
1190,Phenomenon,104636382,142836382,32000000,Jul 05 1996,PG/PG-13,Original Screenplay,Drama,Fiction,6.3,26823
1191,Swordfish,69772969,147080413,80000000,Jun 08 2001,R,Original Screenplay,Action/Adventure,Fiction,6.3,57952
1192,The Game Plan,90648202,147914546,22000000,Sep 22 2007,PG/PG-13,Original Screenplay,Comedy,Fiction,6.3,14984
1193,Alien³,54927174,158500000,55000000,May 22 1992,R,Original Screenplay,Action/Adventure,Fiction,6.3,78860
1194,Saw III,80238724,163876815,10000000,Oct 27 2006,R,Original Screenplay,Horror/Thriller,Fiction,6.3,60784
1195,Bee Movie,126631277,287594577,150000000,Nov 02 2007,PG/PG-13,Original Screenplay,Comedy,Fiction,6.3,30575
1196,Air Force One,172956409,315268353,85000000,Jul 25 1997,R,Original Screenplay,Action/Adventure,Fiction,6.3,61394
1197,What Women Want,182805123,372100000,65000000,Dec 15 2000,PG/PG-13,Original Screenplay,Comedy,Fiction,6.3,54525
1198,The Day After Tomorrow,186740799,544272402,125000000,May 28 2004,PG/PG-13,Original Screenplay,Action/Adventure,Fiction,6.3,92241
1199,Last Holiday,38399961,43343247,45000000,Jan 13 2006,PG/PG-13,Adapted screenplay,Comedy,Fiction,6.3,8060
1200,No Reservations,43107979,92107979,28000000,Jul 27 2007,PG/PG-13,Adapted screenplay,Comedy,Fiction,6.3,16952
1201,Insomnia,67263182,113622499,46000000,May 24 2002,R,Adapted screenplay,Horror/Thriller,Fiction,6.3,33
1202,Fun With Dick And Jane,110550000,202250000,140000000,Dec 21 2005,PG/PG-13,Adapted screenplay,Comedy,Fiction,6.3,1788
1203,Vanity Fair,16123851,19123851,23000000,Sep 01 2004,PG/PG-13,Adapted screenplay,Drama,Fiction,6.2,9343
1204,Bride & Prejudice,6601079,22064531,7000000,Feb 11 2005,PG/PG-13,Adapted screenplay,Western/Musical,Fiction,6.2,9442
1205,Love in the Time of Cholera,4617608,31077418,45000000,Nov 16 2007,R,Adapted screenplay,Drama,Fiction,6.2,8580
1206,Hart's War,19076815,33076815,70000000,Feb 15 2002,R,Adapted screenplay,Drama,Fiction,6.2,19541
1207,The Sisterhood of the Traveling Pants 2,44089964,44154645,27000000,Aug 06 2008,PG/PG-13,Adapted screenplay,Action/Adventure,Fiction,6.2,6557
1208,For Love of the Game,35188640,46112640,50000000,Sep 17 1999,PG/PG-13,Adapted screenplay,Drama,Fiction,6.2,13612
1209,The Ant Bully,28142535,55181129,45000000,Jul 28 2006,PG/PG-13,Adapted screenplay,Action/Adventure,Fiction,6.2,7766
1210,Rules of Engagement,61322858,71719931,60000000,Apr 07 2000,R,Adapted screenplay,Horror/Thriller,Fiction,6.2,18462
1211,The Perfect Storm,182618434,328711434,120000000,Jun 30 2000,PG/PG-13,Adapted screenplay,Drama,Non-Fiction,6.2,55716
1212,Resident Evil: Extinction,50648679,146162920,45000000,Sep 21 2007,R,Adapted screenplay,Action/Adventure,Fiction,6.2,49502
1213,The Informant,33316821,41771168,22000000,Sep 18 2009,R,Adapted screenplay,Horror/Thriller,Fiction,6.2,380
1214,Good,27276,27276,16000000,Dec 31 2008,R,Adapted screenplay,Drama,Fiction,6.2,1926
1215,You've Got Mail,115821495,250800000,65000000,Dec 18 1998,PG/PG-13,Adapted screenplay,Drama,Fiction,6.2,52587
1216,Prefontaine,590817,590817,8000000,Jan 24 1997,PG/PG-13,Adapted screenplay,Drama,Non-Fiction,6.2,2580
1217,Gracie,2956339,3036736,9000000,Jun 01 2007,PG/PG-13,Adapted screenplay,Drama,Non-Fiction,6.2,2084
1218,Riding in Cars with Boys,29781453,29781453,47000000,Oct 19 2001,PG/PG-13,Adapted screenplay,Drama,Non-Fiction,6.2,11895
1219,The Original Kings of Comedy,38168022,38236338,3000000,Aug 18 2000,R,Adapted screenplay,Western/Musical,Non-Fiction,6.2,3258
1220,World Trade Center,70278893,163278893,65000000,Aug 09 2006,PG/PG-13,Adapted screenplay,Drama,Non-Fiction,6.2,34341
1221,Recess: School's Out,36696761,44451470,10000000,Feb 16 2001,G,Adapted screenplay,Comedy,Fiction,6.2,2176
1222,Star Trek: The Motion Picture,82258456,139000000,35000000,Dec 07 1979,PG/PG-13,Adapted screenplay,Action/Adventure,Fiction,6.2,25454
1223,Starsky & Hutch,88200225,170200225,60000000,Mar 05 2004,PG/PG-13,Adapted screenplay,Comedy,Fiction,6.2,48935
1224,Come Early Morning,119452,119452,6000000,Nov 10 2006,R,Original Screenplay,Drama,Fiction,6.2,1511
1225,The Blue Butterfly,1610194,1610194,10400000,Feb 20 2004,PG/PG-13,Original Screenplay,Drama,Fiction,6.2,817
1226,Romance and Cigarettes,551002,3231251,11000000,Sep 07 2007,R,Original Screenplay,Comedy,Fiction,6.2,5362
1227,The Company,2281585,3396508,15000000,Dec 25 2003,PG/PG-13,Original Screenplay,Drama,Fiction,6.2,3649
1228,For Your Consideration,5549923,5549923,12000000,Nov 17 2006,PG/PG-13,Original Screenplay,Comedy,Fiction,6.2,7780
1229,Swingers,4505922,6542637,200000,Oct 18 1996,R,Original Screenplay,Comedy,Fiction,6.2,431
1230,Death to Smoochy,8355815,8374062,50000000,Mar 29 2002,R,Original Screenplay,Comedy,Fiction,6.2,22379
1231,Alpha and Omega 3D,10115431,10115431,20000000,Sep 17 2010,PG/PG-13,Original Screenplay,Action/Adventure,Fiction,6.2,83
1232,Drop Dead Gorgeous,10571408,10571408,10000000,Jul 23 1999,PG/PG-13,Original Screenplay,Comedy,Fiction,6.2,16344
1233,Beyond Borders,4426297,11427090,60000000,Oct 24 2003,R,Original Screenplay,Drama,Fiction,6.2,9575
1234,Mindhunters,4476235,16566235,27000000,May 13 2005,R,Original Screenplay,Horror/Thriller,Fiction,6.2,23357
1235,Center Stage,17200925,17200925,18000000,May 12 2000,PG/PG-13,Original Screenplay,Drama,Fiction,6.2,7968
1236,Can't Hardly Wait,25358996,25358996,10000000,Jun 12 1998,PG/PG-13,Original Screenplay,Comedy,Fiction,6.2,19470
1237,Instinct,34105207,34105207,55000000,Jun 04 1999,R,Original Screenplay,Drama,Fiction,6.2,15388
1238,Jersey Girl,25266129,37066129,35000000,Mar 26 2004,PG/PG-13,Original Screenplay,Comedy,Fiction,6.2,27370
1239,After the Sunset,28328132,38329114,57000000,Nov 12 2004,PG/PG-13,Original Screenplay,Action/Adventure,Fiction,6.2,19793
1240,Never Back Down,24850922,39319801,21000000,Mar 14 2008,PG/PG-13,Original Screenplay,Action/Adventure,Fiction,6.2,21708
1241,War,22466994,40666994,25000000,Aug 24 2007,R,Original Screenplay,Action/Adventure,Fiction,6.2,28771
1242,The Replacements,44737059,50054511,50000000,Aug 11 2000,PG/PG-13,Original Screenplay,Comedy,Fiction,6.2,21542
1243,Heartbreakers,40334024,57753825,38000000,Mar 23 2001,PG/PG-13,Original Screenplay,Comedy,Fiction,6.2,20962
1244,Shanghai Knights,60470220,60470220,50000000,Feb 07 2003,PG/PG-13,Original Screenplay,Action/Adventure,Fiction,6.2,24893
1245,Saw VI,27693292,61259697,11000000,Oct 23 2009,R,Original Screenplay,Horror/Thriller,Fiction,6.2,18091
1246,The Cell,61280963,61280963,35000000,Aug 18 2000,R,Original Screenplay,Horror/Thriller,Fiction,6.2,36961
1247,Lions for Lambs,14998070,63211088,35000000,Nov 09 2007,R,Original Screenplay,Drama,Fiction,6.2,22264
1248,Kate and Leopold,47095453,70937778,48000000,Dec 25 2001,PG/PG-13,Original Screenplay,Comedy,Fiction,6.2,23600
1249,The Number 23,35193167,76593167,32000000,Feb 23 2007,R,Original Screenplay,Horror/Thriller,Fiction,6.2,59174
1250,Barbershop,75781642,77081642,12000000,Sep 13 2002,PG/PG-13,Original Screenplay,Comedy,Fiction,6.2,11164
1251,The River Wild,46815000,94215000,45000000,Sep 30 1994,PG/PG-13,Original Screenplay,Action/Adventure,Fiction,6.2,14285
1252,Once Upon a Time in Mexico,56330657,98156459,29000000,Sep 12 2003,R,Original Screenplay,Action/Adventure,Fiction,6.2,54413
1253,Dragonheart,51364680,104364680,57000000,May 31 1996,PG/PG-13,Original Screenplay,Action/Adventure,Fiction,6.2,26309
1254,Stepmom,91137662,119709917,50000000,Dec 25 1998,PG/PG-13,Original Screenplay,Drama,Fiction,6.2,18505
1255,Legally Blonde,96493426,141743426,18000000,Jul 13 2001,PG/PG-13,Original Screenplay,Comedy,Fiction,6.2,44128
1256,Alien: Resurrection,47795018,160700000,60000000,Nov 26 1997,R,Original Screenplay,Action/Adventure,Fiction,6.2,66141
1257,Flightplan,89706988,225706988,55000000,Sep 23 2005,PG/PG-13,Original Screenplay,Horror/Thriller,Fiction,6.2,45305
1258,The Blair Witch Project,140539099,248300000,600000,Jul 14 1999,R,Original Screenplay,Horror/Thriller,Fiction,6.2,87629
1259,Bad Boys II,138540870,272940870,130000000,Jul 18 2003,R,Original Screenplay,Action/Adventure,Fiction,6.2,58002
1260,American Pie 2,145096820,286500000,30000000,Aug 10 2001,R,Original Screenplay,Comedy,Fiction,6.2,66751
1261,My Best Friend's Wedding,126813153,287200000,46000000,Jun 20 1997,PG/PG-13,Original Screenplay,Comedy,Fiction,6.2,37287
1262,Austin Powers in Goldmember,213117789,292738626,63000000,Jul 25 2002,PG/PG-13,Original Screenplay,Comedy,Fiction,6.2,69140
1263,Dinosaur,137748063,356148063,127500000,May 19 2000,PG/PG-13,Original Screenplay,Action/Adventure,Fiction,6.2,13962
1264,2012,166112167,766812167,200000000,Nov 13 2009,PG/PG-13,Original Screenplay,Action/Adventure,Fiction,6.2,396
1265,Willard,6882696,6882696,20000000,Mar 14 2003,PG/PG-13,Adapted screenplay,Horror/Thriller,Fiction,6.2,7702
1266,Solaris,14970038,14970038,47000000,Nov 27 2002,PG/PG-13,Adapted screenplay,Drama,Fiction,6.2,33151
1267,The Ladykillers,39692139,77692139,35000000,Mar 26 2004,R,Adapted screenplay,Comedy,Fiction,6.2,39242
1268,The Longest Yard,158119460,190320568,82000000,May 27 2005,PG/PG-13,Adapted screenplay,Comedy,Fiction,6.2,39752
1269,The Mummy Returns,202007640,433007640,98000000,May 04 2001,PG/PG-13,Adapted screenplay,Action/Adventure,Fiction,6.2,68084
1270,Sydney White,11892415,12778631,16500000,Sep 21 2007,PG/PG-13,Adapted screenplay,Comedy,Fiction,6.2,9309
1271,King Arthur,51877963,203877963,90000000,Jul 07 2004,PG/PG-13,Adapted screenplay,Action/Adventure,Fiction,6.2,53106
1272,The Good German,1308696,1308696,32000000,Dec 15 2006,R,Adapted screenplay,Drama,Fiction,6.1,13007
1273,Smilla's Sense of Snow,2221994,2221994,35000000,Feb 28 1997,R,Adapted screenplay,Horror/Thriller,Fiction,6.1,7280
1274,Cheri,2715657,2715657,23000000,Jun 26 2009,R,Adapted screenplay,Drama,Fiction,6.1,3307
1275,Crash,3357324,3357324,10000000,Oct 04 1996,R,Adapted screenplay,Drama,Fiction,6.1,20886
1276,Jakob the Liar,4956401,4956401,15000000,Sep 24 1999,PG/PG-13,Adapted screenplay,Drama,Fiction,6.1,6636
1277,The Oxford Murders,3607,8667348,10000000,Aug 06 2010,R,Adapted screenplay,Horror/Thriller,Fiction,6.1,8066
1278,Because of Winn-Dixie,32647042,33589427,15000000,Feb 18 2005,PG/PG-13,Adapted screenplay,Comedy,Fiction,6.1,3720
1279,Cirque du Freak: The Vampire's Assistant,14046595,34372469,40000000,Oct 23 2009,PG/PG-13,Adapted screenplay,Action/Adventure,Fiction,6.1,9539
1280,Inkheart,17303424,58051454,60000000,Jan 23 2009,PG/PG-13,Adapted screenplay,Action/Adventure,Fiction,6.1,14157
1281,High Crimes,41543207,63781100,42000000,Apr 05 2002,PG/PG-13,Adapted screenplay,Horror/Thriller,Fiction,6.1,14428
1282,Babe: Pig in the City,18319860,69131860,80000000,Nov 25 1998,G,Adapted screenplay,Action/Adventure,Fiction,6.1,9918
1283,The Sentinel,36280697,77280697,60000000,Apr 21 2006,PG/PG-13,Adapted screenplay,Horror/Thriller,Fiction,6.1,23567
1284,The Tale of Despereaux,50877145,88717945,60000000,Dec 19 2008,G,Adapted screenplay,Action/Adventure,Fiction,6.1,7460
1285,Paycheck,53789313,89350576,60000000,Dec 25 2003,PG/PG-13,Adapted screenplay,Horror/Thriller,Fiction,6.1,35660
1286,Nanny McPhee and the Big Bang,27776620,90676620,35000000,Aug 20 2010,PG/PG-13,Adapted screenplay,Action/Adventure,Fiction,6.1,2326
1287,Don't Say a Word,54997476,104488383,50000000,Sep 28 2001,R,Adapted screenplay,Horror/Thriller,Fiction,6.1,22157
1288,Along Came a Spider,74058698,105159085,28000000,Apr 06 2001,R,Adapted screenplay,Horror/Thriller,Fiction,6.1,22994
1289,The General's Daughter,102705852,149705852,60000000,Jun 18 1999,R,Adapted screenplay,Drama,Fiction,6.1,23570
